P00027739T0000|5 28|gamma glutamyltransferase
P11469853A0702|78 86|Raf kinase
P11469853A0702|93 98|PKC eta
P11471077A0382|64 67|TRA1
P11473254A0000|48 58|recombinase
P11498795A0716|81 82|RB
P11500377A0518|43 45|Wnt
P11500512A0000|8 12|ABCG1
P11500913A1238|48 58|beta-casein
P11513579A0372|48 51|Rac1
P11517190T0000|29 35|ER alpha
P11521191A0000|41 43|E1A
P11522626A1374|32 35|G(1)
P11522658A0086|79 88|ErbB kinase
P11525640A0560|19 27|ERK kinase
P11532856A1175|211 217|p38 MAPK
P11552922A0361|33 42|polymerase
P11554469A1386|44 47|CesA
P11557127A0991|102 105|MRP2
P11560990A0272|0 2|E47
P11560992A0000|25 41|mitogen-activated
P11560992A0000|49 72|kinase (MAPK) kinase (MKK)7
P11560992A0000|138 153|stress-activated
P11560992A0651|152 155|MKK4
P11570820T0000|4 16|casein kinase I
P11587514A0758|74 86|alpha-amylase
P11593394A0000|115 126|cyclin kinase
P11593394A0000|203 214|cyclin kinase
P11595176T0000|29 33|SPEC1
P11691585T0000|3 8|hcKrox
P11708761A1388|58 60|ACE
P11714429X0000|240 246|Aspirin
P11743360A2491|46 49|IL-6
P11773921A0397|8 17|P-selectin
P11793614A0000|102 102|4
P11836303A0518|11 14|IL-6
P11898797A0124|46 62|acetyltransferase
